YEAR,Car_Age,MILEAGE,CAR_PRICE
2021,1,10273,29988
2019,3,25615,23710
2020,2,27939,25995
2016,6,62075,19991
2014,8,66172,18295
2017,5,72041,21991
2018,4,82239,22717
2013,9,105191,13858
2022,0,2571,32588
2015,7,68000,19990
2023,0,7,32129
